Категория;Артикул фабрики;Название фабрики;Страна происхождения;Серия;Наименование;Цена;Остатки;Стиль;Кол-во ламп_1;Макс.мощность_1;Тип цоколя_1;Напряжение_1;Кол-во ламп_2;Макс.мощность_2;Тип цоколя_2;Напряжение_2;Кол-во ламп_3;Макс.мощность_3;Тип цоколя_3;Напряжение_3;Количество лампочек (цоколей)_вычисляемое;Общая мощность_вычисляемая;Максимальная мощность 1-ой лампочки_собираемая;Тип цоколя_собираемый;Напряжение_собираемое;Наличие лампочек в комплекте;Степень пыле-влагозащиты (IP);Класс защиты от эл. тока;Вес брутто(кг);Объем (м3);Длина (см);Ширина (см);Диаметр (см);Выступ (см);Высота (см);МАКС высота (см);МИН высота (см);Глубина врезного отверстия;Размер врезного отверстия;Диаметр абажура (см);Дополнительные функции;Цвет каркаса;Цвет плафона/абажура;Материал каркаса;Материал плафона/абажура;Тип хрусталя;Хрусталь;Кованый;Флористика;Детский;Светодиодный;Точечный;Подсветка предметов;На солнечных батареях;Примечание;Поставщик;Внутренний код;Сортировка
Люстры>>Подвесные;A8312SP-12CC;ArteLamp;Италия;MOLECULE;Подвесная люстра ArteLamp MOLECULE A8312SP-12CC;30010;13;Современный;12;10;G4;230;;;;;;;;;12;120;10 Вт;G4;230;да;;;;0,0726;;;58;;130;;;;;;;хром;хром;;;;;;;;;;;;Длина штанги - 77 см.;ArteLamp;;140
Люстры>>Подвесные;A8312SP-6CC;ArteLamp;Италия;MOLECULE;Подвесная люстра ArteLamp MOLECULE A8312SP-6CC;16270;89;Современный;6;10;G4;230;;;;;;;;;6;60;10 Вт;G4;230;да;;;;0,029;;;45;;120;;;;;;;хром;хром;;;;;;;;;;;;Длина штанги - 79 см.;ArteLamp;;140
Светильники>>Подвесные;A8149SP-1SI;ArteLamp;Италия;DOME;Подвесной светильник ArteLamp DOME A8149SP-1SI;6080;78;Современный;1;60;E27;;;;;;;;;;1;60;60 Вт;E27;;;;;2,62;0,041;;;38;;145;;;;;;;серебро;черный;;;;;;;;;;;;Длина штанги - 120 см.;ArteLamp;;140
Светильники>>Подвесные;A8149SP-1GO;ArteLamp;Италия;DOME;Подвесной светильник ArteLamp DOME A8149SP-1GO;6080;30;Современный;1;60;E27;;;;;;;;;;1;60;60 Вт;E27;;;;;2,62;0,041;;;38;;145;;;;;;;золото;черный;;;;;;;;;;;;Длина штанги - 120 см.;ArteLamp;;140
Светильники>>Подвесные;A4011SP-3CC;ArteLamp;Италия;DOME;Подвесной светильник ArteLamp DOME A4011SP-3CC с хрустальными подвесками;4450;229;Современный;3;40;E14;230;;;;;;;;;3;120;40 Вт;E14;230;;;;;0,0811;;;41;;80;;;;;;;хром;черный;;;;да;;;;;;;;Длина штанги - 40 см.;ArteLamp;;140
Светильники>>Подвесные;A1326SP-1CC;ArteLamp;Италия;RING;Подвесной светильник ArteLamp RING A1326SP-1CC;5800;131;Современный;1;60;E27;;;;;;;;;;1;60;60 Вт;E27;;;;;2,7;0,0288;;;30;;100;;;;;;;хром;белый;;;;;;;;;;;;дерево, длина штанги - 75 см.;ArteLamp;;140
Бра настенные;A1326AP-1CC;ArteLamp;Италия;RING;Бра ArteLamp RING A1326AP-1CC;2220;194;Современный;1;40;E14;;;;;;;;;;1;40;40 Вт;E14;;;;;1,57;0,013;;15;;19;22;;;;;;шнуровой выключатель;хром;белый;;;;;;;;;;;;дерево;ArteLamp;;140
Светильники>>Подвесные;A9360SP-1AB;ArteLamp;Италия;MONTANA;Подвесной светильник ArteLamp MONTANA A9360SP-1AB;4320;60;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;;;;0,0527;;;31;;180;;;;;;;античная бронза;белый;;;;;;;;;;;;Длина штанги - 150 см.;ArteLamp;;140
Светильники>>Подвесные;A9360SP-1CC;ArteLamp;Италия;MONTANA;Подвесной светильник ArteLamp MONTANA A9360SP-1CC;4320;64;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;;;;0,0527;;;31;;180;;;;;;;хром;белый;;;;;;;;;;;;Длина штанги - 150 см.;ArteLamp;;140
Светильники>>Потолочные;A7833PL-2AB;ArteLamp;Италия;HALL;Потолочный светильник ArteLamp HALL A7833PL-2AB;4670;50;Современный;2;60;E14;230;;;;;;;;;2;120;60 Вт;E14;230;;;;;0,0211;;;30;;18;;;;;;;античная бронза;;;;;;;;;;;;;;ArteLamp;;140
Светильники>>Настенные;A7844AP-1AB;ArteLamp;Италия;HALL;Настенный светильник ArteLamp HALL A7844AP-1AB;3457;2;Современный;1;80;R7s 78mm;230;;;;;;;;;1;80;80 Вт;R7s 78mm;230;да;;;;0,016;;33;;15;17;;;;;;;античная бронза;белый;;;;;;;;;;;;;ArteLamp;;140
